accession,title,organism,n_samples,source_summary,library_strategy,single_cell_flag,material_flag,disease_terms_found,expression_files,decision,top_reason
GSE192959,Transcriptome profile of liver biopsy tissues from patients with non-alcoholic fatty liver disease (derivation set).,Homo sapiens 48/48,48,liver-pattern source 48/48,RNA-Seq 48/48,PASS,PASS,disease/fibrosis terms found in sample metadata (48 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX13586670, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586671, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586672, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586673, https://www.ncbi.nlm.nih.gov/sra?term=SRX13586674, and 43 more (see sample_metadata.csv))",CANDIDATE,
GSE200679,Hepatic senescence is associated with clinical progression of NAFLD/NASH: Role of BMP4 and its antagonist Gremlin1 (Hepatocytes),Homo sapiens 8/8,8,liver-pattern source 8/8; off-target tissue signal detected,RNA-Seq 8/8,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE200679_Kallisto_TPM_exp_profiles_cellline.txt.gz,MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE200678,Hepatic senescence is associated with clinical progression of NAFLD/NASH: Role of BMP4 and its antagonist Gremlin1 (Visceral adipose cells),Homo sapiens 35/35,35,liver-pattern source 0/35; off-target tissue signal detected,RNA-Seq 35/35,PASS,PASS,disease/fibrosis terms found in sample metadata (35 sample(s)),processed series-level file: GSE200678_Kallisto_visceral_AT_tissue_TPM.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/35; off-target tissue signal detected
GSE174748,An imbalance of tumour-suppressing and tumour-promoting hepatic stellate cell populations in liver fibrosis contributes to hepatocarcinogenesis,Homo sapiens 4/4,4,liver-pattern source 4/4,RNA-Seq 4/4,FAIL,PASS,disease/fibrosis terms found in sample metadata (2 sample(s)),"processed per-sample counts (4/4), packaged in GSE174748_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, Seurat, barcodes.tsv, features.tsv, matrix.mtx (4 sample(s)))"
GSE180241,Endothelial-immune crosstalk contributes to vascular injury in non-alcoholic fatty liver disease,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,WARN,PASS,disease/fibrosis terms found in sample metadata (3 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX11482564, https://www.ncbi.nlm.nih.gov/sra?term=SRX11482565, https://www.ncbi.nlm.nih.gov/sra?term=SRX11482566, https://www.ncbi.nlm.nih.gov/sra?term=SRX11482568, https://www.ncbi.nlm.nih.gov/sra?term=SRX11482569, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE179886,Endothelial-immune crosstalk contributes to vasculopathy in nonalcoholic fatty liver disease,Homo sapiens 2/2,2,liver-pattern source 0/2; off-target tissue signal detected,RNA-Seq 2/2,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (2/2), packaged in GSE179886_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, CellRanger, barcodes.tsv, features.tsv, matrix.mtx (2 sample(s)))"
GSE174478,Whole transcriptome profiling of Japanese  nonalcoholic fatty liver disease cohort.,Homo sapiens 94/94,94,liver-pattern source 94/94,RNA-Seq 94/94,PASS,PASS,disease/fibrosis terms found in sample metadata (94 sample(s)),processed series-level file: GSE174478_raw_gene_counts_matrix.txt.gz,STRONG_CANDIDATE,
GSE185051,Hepatic Transcriptome Profiling of A Multiethnic Cohort of Pediatric Non-Alcoholic Fatty Liver Disease Patients Reveals Novel Genes and Pathways Associated With Disease Stages,Homo sapiens 57/57,57,liver-pattern source 57/57,RNA-Seq 57/57,PASS,PASS,disease/fibrosis terms found in sample metadata (57 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX12411586, https://www.ncbi.nlm.nih.gov/sra?term=SRX12411587, https://www.ncbi.nlm.nih.gov/sra?term=SRX12411588, https://www.ncbi.nlm.nih.gov/sra?term=SRX12411589, https://www.ncbi.nlm.nih.gov/sra?term=SRX12411590, and 52 more (see sample_metadata.csv))",CANDIDATE,
GSE190487,Gastrointestinal B-cells license metabolic T-cell activation in NASH microbiota anigen-independently and contribute to fibrosis by IgA-FcRy signalling,Homo sapiens 1/1,1,liver-pattern source 1/1,RNA-Seq 1/1,FAIL,PASS,disease/fibrosis terms found in sample metadata (1 sample(s)),"processed per-sample counts (1/1), packaged in GSE190487_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, barcodes.tsv, features.tsv, matrix.mtx, scRNA (1 sample(s)))"
GSE192741,Spatial proteogenomics reveals distinct and evolutionarily-conserved hepatic macrophage niches (spatial),"mixed organisms: Homo sapiens 5/15, Mus musculus 10/15",15,liver-pattern source 15/15,RNA-Seq 15/15,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (15/15), packaged in GSE192741_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Seurat, Visium, filtered_feature_bc_matrix, tissue_positions (15 sample(s)))"
GSE192740,Spatial proteogenomics reveals distinct and evolutionarily-conserved hepatic macrophage niches (single cells),"mixed organisms: Danio rerio 4/132, Gallus gallus 2/132, Homo sapiens 38/132, Macaca mulatta 2/132, Mesocricetus auratus 2/132, Mus musculus 82/132, Sus scrofa 2/132",132,liver-pattern source 132/132,RNA-Seq 132/132,FAIL,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (132/132), packaged in GSE192740_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: Cell Ranger, CellRanger, Cite-seq, Seurat, filtered_feature_bc_matrix (132 sample(s)))"
GSE189175,Single-nucleus RNA-seq of NASH HCC liver tissue,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,FAIL,PASS,disease/fibrosis terms found in sample metadata (6 sample(s)),processed series-level file: GSE189175_counts_barcodes.tsv.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, STARsolo, Seurat, barcodes.tsv, features.tsv, matrix.mtx (7 sample(s)))"
GSE186329,Activation of GPR3-b-Arrestin2-PKM2 by DPI enhanced glycolysis in kupffer cells,"mixed organisms: Homo sapiens 10/19, Mus musculus 9/19",19,liver-pattern source 19/19,RNA-Seq 19/19,FAIL,PASS,disease/fibrosis terms found in sample metadata (3 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX12724896, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724897, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724898, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724899, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724900, and 14 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, Single-cell suspension (6 sample(s)))"
GSE186328,Activation of GPR3-b-Arrestin2-PKM2 by DPI enhanced glycolysis in kupffer cells [single-cell RNA-seq],Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,FAIL,PASS,disease/fibrosis terms found in sample metadata (3 sample(s)),processed series-level file: GSE186328_raw_counts.csv.gz,REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Cell Ranger, Single-cell suspension (6 sample(s)))"
GSE186326,Activation of GPR3-b-Arrestin2-PKM2 by DPI enhanced glycolysis in kupffer cells [Human KC],Homo sapiens 4/4,4,liver-pattern source 4/4,RNA-Seq 4/4,WARN,INFO,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX12724906, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724907, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724908, https://www.ncbi.nlm.nih.gov/sra?term=SRX12724909)",MANUAL_REVIEW,sample_count: 4 samples (below 20)
GSE159924,"Increased adipose tissue fibrogenesis, not impaired expandability, is associated with nonalcoholic fatty liver disease",Homo sapiens 57/57,57,liver-pattern source 0/57; off-target tissue signal detected,RNA-Seq 57/57,PASS,PASS,disease/fibrosis terms found in sample metadata (24 sample(s)),processed series-level file: GSE159924_PSQ_fibrosis_all.gene_moderated_log2cpm.xlsx,MANUAL_REVIEW,source_tissue: liver-pattern source 0/57; off-target tissue signal detected
GSE156906,"Adipose tissue immunology, inflammation and exosomes in regulating insulin sensitivity in people with obesity and nonalcoholic fatty liver disease",Homo sapiens 66/66,66,liver-pattern source 0/66; off-target tissue signal detected,RNA-Seq 66/66,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE156906_PSQ_inflammation_all.gene_moderated_log2cpm.xlsx,MANUAL_REVIEW,source_tissue: liver-pattern source 0/66; off-target tissue signal detected
GSE168285,Transcriptomal profiling of liver microphysiological system (MPS) co-culture NASH model under varying culture conditions,Homo sapiens 179/179,179,liver-pattern source 179/179,RNA-Seq 179/179,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE168285_raw_counts.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE138312,Transcriptomic analysis of induced pluripotent stem cells (iPSC) and differentiated hepatocytes (iPSC-Heps) from a cohort of healthy subjects and patients with nonalcoholic fatty liver disease (NAFLD),Homo sapiens 74/74,74,liver-pattern source 0/74,RNA-Seq 74/74,PASS,WARN,disease/fibrosis terms found in sample metadata (42 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX6936046, https://www.ncbi.nlm.nih.gov/sra?term=SRX6936047, https://www.ncbi.nlm.nih.gov/sra?term=SRX6936048, https://www.ncbi.nlm.nih.gov/sra?term=SRX6936049, https://www.ncbi.nlm.nih.gov/sra?term=SRX6936050, and 69 more (see sample_metadata.csv))",MANUAL_REVIEW,source_tissue: liver-pattern source 0/74
GSE162694,Molecular Characterization and Cell Type Composition Deconvolution of Fibrosis in NAFLD,Homo sapiens 143/143,143,liver-pattern source 143/143,RNA-Seq 143/143,PASS,PASS,disease/fibrosis terms found in sample metadata (143 sample(s)),processed series-level file: GSE162694_raw_counts.csv.gz,STRONG_CANDIDATE,
GSE158884,RNA-seq in HepG2 cells with YY1 knockdown,Homo sapiens 22/22,22,liver-pattern source 22/22,RNA-Seq 22/22,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE158884_YY1_KD_feature_counts.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE167523,Transcriptome profiling of human non-alcoholic fatty liver disease,Homo sapiens 98/98,98,liver-pattern source 98/98,RNA-Seq 98/98,PASS,PASS,disease/fibrosis terms found in sample metadata (98 sample(s)),"processed per-sample counts (98/98), packaged in GSE167523_RAW.tar",STRONG_CANDIDATE,
GSE160200,Cholesterol-induced M4-like Macrophages in Non-alcoholic Steatohepatitis recruit Neutrophils and induce NETosis,Homo sapiens 20/20,20,liver-pattern source 0/20,RNA-Seq 20/20,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (20/20), packaged in GSE160200_RAW.tar",MANUAL_REVIEW,source_tissue: liver-pattern source 0/20
GSE169446,XCR1+ type 1 conventional dendritic cells drive liver pathology in Non-Alcoholic Steatohepatitis [10x scRNA-seq],Homo sapiens 2/2,2,liver-pattern source 0/2,RNA-Seq 2/2,FAIL,PASS,disease/fibrosis terms found in sample metadata (1 sample(s)),"processed per-sample counts (2/2), packaged in GSE169446_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10x, Single cell suspension, barcodes.tsv, cellranger, features.tsv, matrix.mtx (2 sample(s)))"
GSE164444,A selective HDAC8 inhibitor potentiates antitumor immunity and efficacy of immune checkpoint blockade in hepatocellular carcinoma,Homo sapiens 37/37,37,liver-pattern source 20/37,"mixed strategies: ChIP-Seq 17/37, RNA-Seq 20/37",PASS,PASS,disease/fibrosis terms found in sample metadata (37 sample(s)),no downloadable expression data or sequencing reads found,REJECT,expression_data_availability: no downloadable expression data (no downloadable expression data or sequencing reads found)
GSE164441,A selective HDAC8 inhibitor potentiates antitumor immunity and efficacy of immune checkpoint blockade in hepatocellular carcinoma [RNA-seq],Homo sapiens 20/20,20,liver-pattern source 10/20,RNA-Seq 20/20,PASS,PASS,disease/fibrosis terms found in sample metadata (20 sample(s)),processed series-level file: GSE164441_RNAseq_10Tvs10NT_cuffdiff_FPKM.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 10/20
GSE168484,Hepatic miR20b promotes nonalcholic fatty liver diseases by targeting PPARα,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX10272908, https://www.ncbi.nlm.nih.gov/sra?term=SRX10272909, https://www.ncbi.nlm.nih.gov/sra?term=SRX10272910, https://www.ncbi.nlm.nih.gov/sra?term=SRX10272911, https://www.ncbi.nlm.nih.gov/sra?term=SRX10272912, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE160022,TREM2 sustains macrophage-hepatocyte metabolic coordination in NAFLD and sepsis,"mixed organisms: Homo sapiens 11/31, Mus musculus 20/31",31,liver-pattern source 31/31,"mixed strategies: RNA-Seq 23/31, miRNA-Seq 8/31",FAIL,PASS,disease/fibrosis terms found in sample metadata (11 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX9353386, https://www.ncbi.nlm.nih.gov/sra?term=SRX9353387, https://www.ncbi.nlm.nih.gov/sra?term=SRX9353388, https://www.ncbi.nlm.nih.gov/sra?term=SRX9353389, https://www.ncbi.nlm.nih.gov/sra?term=SRX9353390, and 26 more (see sample_metadata.csv))",REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: snRNA (8 sample(s)))
GSE160016,TREM2 sustains macrophage-hepatocyte metabolic coordination in NAFLD and sepsis [Human_liver_RNA_seq],Homo sapiens 11/11,11,liver-pattern source 11/11,RNA-Seq 11/11,PASS,PASS,disease/fibrosis terms found in sample metadata (11 sample(s)),processed series-level file: GSE160016_gene_fpkm.txt.gz,MANUAL_REVIEW,sample_count: 11 samples (below 20)
GSE141078,The transcriptomic changes induced by NREP downregulation in HepG2 cells,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX7223715, https://www.ncbi.nlm.nih.gov/sra?term=SRX7223716, https://www.ncbi.nlm.nih.gov/sra?term=SRX7223717, https://www.ncbi.nlm.nih.gov/sra?term=SRX7223718, https://www.ncbi.nlm.nih.gov/sra?term=SRX7223719, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE138052,mRNA sequencing analysis of a novel model of 'NAFLD in a Dish',Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (6/6), packaged in GSE138052_RAW.tar",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE135251,TRANSCRIPTOMIC PROFILING ACROSS THE SPECTRUM OF NON-ALCOHOLIC FATTY LIVER DISEASE,Homo sapiens 216/216,216,liver-pattern source 216/216,RNA-Seq 216/216,PASS,PASS,disease/fibrosis terms found in sample metadata (216 sample(s)),"processed per-sample counts (216/216), packaged in GSE135251_RAW.tar",STRONG_CANDIDATE,
GSE150026,Effects of Tesamorelin on Hepatic Transcriptomic Signatures in HIV-Associated NAFLD,Homo sapiens 78/78,78,liver-pattern source 78/78,RNA-Seq 78/78,PASS,PASS,disease/fibrosis terms found in sample metadata (78 sample(s)),processed series-level file: GSE150026_normalizedReadCounts.txt.gz,STRONG_CANDIDATE,
GSE135448,"High- and low-protein diet: effects on human hepatic fat content, autophagy, mitochondrial function and fat metabolism",Homo sapiens 19/19,19,liver-pattern source 19/19,RNA-Seq 19/19,PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE135448_Diff_Expression_LPvsHP.txt.gz,MANUAL_REVIEW,sample_count: 19 samples (below 20)
GSE136103,Resolving the fibrotic niche of human liver cirrhosis using single-cell transcriptomics,"mixed organisms: Homo sapiens 24/26, Mus musculus 2/26",26,liver-pattern source 26/26; off-target tissue signal detected,RNA-Seq 26/26,FAIL,PASS,disease/fibrosis terms found in sample metadata (7 sample(s)),"processed per-sample counts (26/26), packaged in GSE136103_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Cell Ranger, barcodes.tsv, genes.tsv, matrix.mtx (26 sample(s)))"
GSE130970,Gene expression predicts histological severity and reveals distinct molecular profiles of nonalcoholic fatty liver disease,Homo sapiens 78/78,78,liver-pattern source 78/78,RNA-Seq 78/78,PASS,PASS,disease/fibrosis terms found in sample metadata (78 sample(s)),processed series-level file: GSE130970_all_sample_salmon_tximport_TPM_entrez_gene_ID.csv.gz,STRONG_CANDIDATE,
GSE135796,Growth Differentiation Factor 11 exacerbates non-alcoholic fatty liver disease in vitro and in vivo,Homo sapiens 6/6,6,liver-pattern source 6/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX6709588, https://www.ncbi.nlm.nih.gov/sra?term=SRX6709589, https://www.ncbi.nlm.nih.gov/sra?term=SRX6709590, https://www.ncbi.nlm.nih.gov/sra?term=SRX6709591, https://www.ncbi.nlm.nih.gov/sra?term=SRX6709592, and 1 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE134146,circRNA expression profiles of fibroblasts: normal vs. NASH cirrhosis,Homo sapiens 8/8,8,liver-pattern source 8/8,no expression-profiling strategy found (none reported),PASS,PASS,disease/fibrosis terms found in sample metadata (8 sample(s)),processed series-level file: GSE134146_quantile.txt.gz,REJECT,library_strategy: no expression-profiling samples (no expression-profiling strategy found (none reported))
GSE126831,A temporal proteogenomic atlas of HCV-host interactions unravels cell circuits driving viral and metabolic liver disease.,Homo sapiens 63/63,63,liver-pattern source 0/63,RNA-Seq 63/63,FAIL,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE126831_FPKM.tsv.gz,REJECT,single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: SmartSeq (63 sample(s)))
GSE126848,HEPATIC TRANSCRIPTOME SIGNATURES IN PATIENTS WITH VARYING DEGREES OF NON-ALCOHOLIC FATTY LIVER DISEASE COMPARED TO HEALTHY NORMAL-WEIGHT INDIVIDUALS,Homo sapiens 57/57,57,liver-pattern source 57/57,RNA-Seq 57/57,PASS,PASS,disease/fibrosis terms found in sample metadata (31 sample(s)),processed series-level file: GSE126848_Gene_counts_raw.txt.gz,STRONG_CANDIDATE,
GSE109565,Identification of transcriptome and metabolome signatures of fatty liver disease in HepaRG cells exposed to PCB 126 and glyphosate,Homo sapiens 40/40,40,liver-pattern source 40/40,RNA-Seq 40/40,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE109565_Mesnage_et_al._Glyphosate_HepaRG_FPKM_Data.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE115193,Evaluating pre-clinical models for studying NASH driven HCC.,Homo sapiens 9/9,9,liver-pattern source 9/9,RNA-Seq 9/9,PASS,PASS,disease/fibrosis terms found in sample metadata (6 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX4150293, https://www.ncbi.nlm.nih.gov/sra?term=SRX4150294, https://www.ncbi.nlm.nih.gov/sra?term=SRX4150295, https://www.ncbi.nlm.nih.gov/sra?term=SRX4150296, https://www.ncbi.nlm.nih.gov/sra?term=SRX4150297, and 4 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 9 samples (below 20)
GSE116185,A NAFLD Model Created By Endoplasmic Reticulum Stress Response-Associated Steatosis in Human Induced Pluripotent Stem Cell-Derived Hepatocytes,Homo sapiens 4/4,4,liver-pattern source 4/4,RNA-Seq 4/4,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX4286160, https://www.ncbi.nlm.nih.gov/sra?term=SRX4286161, https://www.ncbi.nlm.nih.gov/sra?term=SRX4286162, https://www.ncbi.nlm.nih.gov/sra?term=SRX4286163)",MANUAL_REVIEW,sample_count: 4 samples (below 20)
GSE105127,Epigenomic analysis of micro-dissected human liver reveals principles of zonated morphogenic and metabolic control,Homo sapiens 114/114,114,liver-pattern source 114/114,"mixed strategies: Bisulfite-Seq 57/114, RNA-Seq 57/114",PASS,PASS,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX3298622, https://www.ncbi.nlm.nih.gov/sra?term=SRX3298623, https://www.ncbi.nlm.nih.gov/sra?term=SRX3298624, https://www.ncbi.nlm.nih.gov/sra?term=SRX3298625, https://www.ncbi.nlm.nih.gov/sra?term=SRX3298626, and 109 more (see sample_metadata.csv))",MANUAL_REVIEW,"library_strategy: mixed strategies: Bisulfite-Seq 57/114, RNA-Seq 57/114"
GSE107650,Low carbohydrate diet study for non-alcoholic fatty liver disease patients,Homo sapiens 14/14,14,liver-pattern source 14/14,RNA-Seq 14/14,PASS,PASS,disease/fibrosis terms found in sample metadata (14 sample(s)),"processed per-sample counts (14/14), packaged in GSE107650_RAW.tar",MANUAL_REVIEW,sample_count: 14 samples (below 20)
GSE326385,Fucoxanthin ameliorates metabolic dysfunction-associated steatohepatitis via suppression of CD36-driven fatty acid uptake,Homo sapiens 18/18,18,liver-pattern source 18/18,RNA-Seq 18/18,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX32714933, https://www.ncbi.nlm.nih.gov/sra?term=SRX32714934, https://www.ncbi.nlm.nih.gov/sra?term=SRX32714935, https://www.ncbi.nlm.nih.gov/sra?term=SRX32714936, https://www.ncbi.nlm.nih.gov/sra?term=SRX32714937, and 13 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 18 samples (below 20)
GSE298719,A Human Single-cell Atlas Identifies OLR1+ Scar-associated Macrophages as a Therapeutic Target for Chronic Liver Disease,"mixed organisms: Homo sapiens 13/41, Mus musculus 28/41",41,liver-pattern source 27/41,"mixed strategies: ATAC-seq 8/41, RNA-Seq 33/41",FAIL,INFO,disease/fibrosis terms found in sample metadata (7 sample(s)),"processed per-sample counts (41/41), packaged in GSE298719_RAW.tar",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: 10X, Cell Ranger, CellRanger, Chromium, ScRNA, barcodes.tsv, cellranger, features.tsv, matrix.mtx, scRNA (41 sample(s)))"
GSE341780,ERα/miR-26a/ANKRD52 axis regulates progression of MASH- associated HCC in HDTVi HCC models,Homo sapiens 6/6,6,liver-pattern source 0/6,RNA-Seq 6/6,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE341780_gene_count_matrix.xlsx,MANUAL_REVIEW,sample_count: 6 samples (below 20)
GSE320365,An Integrated Multi-omic Analysis Reveals Novel Gene-Metabolite Relationships in Human Steatohepatitic Hepatocellular Carcinoma,Homo sapiens 15/15,15,liver-pattern source 15/15,RNA-Seq 15/15,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX32263362, https://www.ncbi.nlm.nih.gov/sra?term=SRX32263363, https://www.ncbi.nlm.nih.gov/sra?term=SRX32263364, https://www.ncbi.nlm.nih.gov/sra?term=SRX32263365, https://www.ncbi.nlm.nih.gov/sra?term=SRX32263366, and 10 more (see sample_metadata.csv))",MANUAL_REVIEW,sample_count: 15 samples (below 20)
GSE334408,Resmetirom ameliorates fibrogenesis in hepatic stellate cells via thyroid hormone receptor alpha-fatty-acid amide hydrolase 1 signaling pathway,Homo sapiens 8/8,8,liver-pattern source 8/8,RNA-Seq 8/8,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata","processed per-sample counts (8/8), packaged in GSE334408_RAW.tar",MANUAL_REVIEW,sample_count: 8 samples (below 20)
GSE334407,Physiologically relevant media are associated with overlapping metabolic responses in primary human hepatocytes and Huh7 cells,Homo sapiens 30/30,30,liver-pattern source 30/30,RNA-Seq 30/30,PASS,WARN,"disease term found only in series-level text, not corroborated by sample metadata",processed series-level file: GSE334407_Huh7_raw_counts.txt.gz,MANUAL_REVIEW,metadata_completeness: no disease/diagnosis/group/stage-type canonical field reported anywhere
GSE325645,Transcriptomic profiling of NK cells in CHB and CHB-MASLD,Homo sapiens 7/7,7,liver-pattern source 0/7,RNA-Seq 7/7,PASS,WARN,disease/fibrosis terms found in sample metadata (3 sample(s)),processed series-level file: GSE325645_gene_expression.txt.gz,MANUAL_REVIEW,sample_count: 7 samples (below 20)
GSE334651,Alternative splicing- and gene fusion-derived neoepitopes in MASLD-associated hepatocellular carcinoma,Homo sapiens 120/120,120,liver-pattern source 120/120,RNA-Seq 120/120,PASS,PASS,disease/fibrosis terms found in sample metadata (108 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX33650816, https://www.ncbi.nlm.nih.gov/sra?term=SRX33650817, https://www.ncbi.nlm.nih.gov/sra?term=SRX33650818, https://www.ncbi.nlm.nih.gov/sra?term=SRX33650819, https://www.ncbi.nlm.nih.gov/sra?term=SRX33650820, and 115 more (see sample_metadata.csv))",CANDIDATE,
GSE333851,Spatial Glyco-Codes Define Human Liver Pathology and Progression,Homo sapiens 32/32,32,liver-pattern source 32/32,no expression-profiling strategy found (OTHER),FAIL,PASS,disease/fibrosis terms found in sample metadata (24 sample(s)),"raw sequencing only (https://www.ncbi.nlm.nih.gov/sra?term=SRX33671159, https://www.ncbi.nlm.nih.gov/sra?term=SRX33671160, https://www.ncbi.nlm.nih.gov/sra?term=SRX33671161, https://www.ncbi.nlm.nih.gov/sra?term=SRX33671162, https://www.ncbi.nlm.nih.gov/sra?term=SRX33671163, and 27 more (see sample_metadata.csv))",REJECT,"single_cell_or_spatial: cell-resolved assay; not bulk transcriptomics (cell-resolved signal in sample metadata: CITE-seq, Seurat, Spatial Transcriptom (32 sample(s)))"
GSE282757,Evidence of a gut-adipose-liver axis: microbiota encroachment in metabolic dysfunction-associated steatotic liver disease,Homo sapiens 39/39,39,liver-pattern source 0/39; off-target tissue signal detected,RNA-Seq 39/39,PASS,PASS,disease/fibrosis terms found in sample metadata (13 sample(s)),processed series-level file: GSE282757_DESeq2_raw_counts_for_NCBI_GEO_-_renamed_PIDs.txt.gz,MANUAL_REVIEW,source_tissue: liver-pattern source 0/39; off-target tissue signal detected
